id,title,area,zone,size_sqft,bedrooms,bathrooms,rent_bdt,service_charge_bdt,total_monthly_cost_bdt,price_per_sqft,furnished,parking,lift,cctv,generator,managed_by,verified,source
249,"5 Bed 3983 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,3983,5,5,88400,9000.0,97400.0,22.1943258850113,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
250,"4 Bed 1620 Sq Ft Apartment in Sector 12, Uttara","Sector 12, Uttara",Uttara,1620,4,4,41000,7500.0,48500.0,25.308641975308642,Unfurnished,False,True,True,True,Bproperty,True,synthetic
251,"4 Bed 3320 Sq Ft Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,3320,4,5,225500,3500.0,229000.0,67.92168674698796,Semi-Furnished,True,True,True,False,Bproperty,True,synthetic
252,"2 Bed 1202 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,1202,2,1,38800,,38800.0,32.27953410981697,Unfurnished,False,True,False,False,Bproperty,True,synthetic
253,"2 Bed 4148 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,4148,2,2,163500,2000.0,165500.0,39.41658630665381,Unfurnished,True,True,True,True,Bproperty,True,synthetic
254,"4 Bed 1786 Sq Ft Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,1786,4,5,97900,12000.0,109900.0,54.815229563269874,Unfurnished,False,True,True,False,Bproperty,True,synthetic
255,"5 Bed 4238 Sq Ft Apartment in PC Culture Housing, Mohammadpur","PC Culture Housing, Mohammadpur",Mohammadpur,4238,5,4,96700,,96700.0,22.817366682397356,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
256,"2 Bed 4185 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,4185,2,2,114000,3500.0,117500.0,27.240143369175627,Semi-Furnished,True,False,False,True,Bproperty,True,synthetic
257,"4 Bed 3343 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,3343,4,5,97300,9000.0,106300.0,29.105593778043673,Semi-Furnished,True,True,True,False,Bproperty,True,synthetic
258,"1 Bed 3019 Sq Ft Apartment in Sector 12, Uttara","Sector 12, Uttara",Uttara,3019,1,1,112500,15000.0,127500.0,37.26399470023186,Unfurnished,True,True,True,False,Bproperty,True,synthetic
259,"5 Bed 1675 Sq Ft Apartment in Sector 10, Uttara","Sector 10, Uttara",Uttara,1675,5,4,64800,,64800.0,38.6865671641791,Unfurnished,True,True,True,True,Bproperty,True,synthetic
260,"5 Bed 2304 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,2304,5,5,47500,,47500.0,20.616319444444443,Unfurnished,True,False,True,False,Bproperty,True,synthetic
261,"2 Bed 3426 Sq Ft Apartment in Humayun Road, Mohammadpur","Humayun Road, Mohammadpur",Mohammadpur,3426,2,1,116600,2000.0,118600.0,34.03385872737887,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
262,"1 Bed 3165 Sq Ft Apartment in Road No 2A, Dhanmondi","Road No 2A, Dhanmondi",Dhanmondi,3165,1,2,100100,3500.0,103600.0,31.627172195892577,Unfurnished,True,True,True,True,Bproperty,True,synthetic
263,"1 Bed 3596 Sq Ft Apartment in Khilji Road, Mohammadpur","Khilji Road, Mohammadpur",Mohammadpur,3596,1,2,67200,,67200.0,18.68743047830923,Unfurnished,True,True,True,True,Bproperty,True,synthetic
264,"2 Bed 1011 Sq Ft Apartment in Block A, Bashundhara R-A","Block A, Bashundhara R-A",Bashundhara R-A,1011,2,3,43600,15000.0,58600.0,43.125618199802176,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
265,"1 Bed 4374 Sq Ft Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,4374,1,1,274500,2000.0,276500.0,62.757201646090536,Unfurnished,False,True,True,True,Bproperty,True,synthetic
266,"4 Bed 3441 Sq Ft Furnished Apartment in Block I, Bashundhara R-A","Block I, Bashundhara R-A",Bashundhara R-A,3441,4,3,147700,9000.0,156700.0,42.92356873002034,Furnished,True,True,False,True,Bproperty,True,synthetic
267,"2 Bed 3045 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,3045,2,1,73800,15000.0,88800.0,24.236453201970445,Unfurnished,True,True,True,True,Bproperty,True,synthetic
268,"1 Bed 1485 Sq Ft Apartment in Humayun Road, Mohammadpur","Humayun Road, Mohammadpur",Mohammadpur,1485,1,2,33500,15000.0,48500.0,22.55892255892256,Semi-Furnished,False,True,True,True,Bproperty,True,synthetic
269,"1 Bed 2912 Sq Ft Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,2912,1,1,190600,,190600.0,65.4532967032967,Unfurnished,True,True,True,False,Bproperty,True,synthetic
270,"2 Bed 2008 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,2008,2,2,41800,,41800.0,20.816733067729082,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
271,"2 Bed 1274 Sq Ft Furnished Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,1274,2,1,42900,12000.0,54900.0,33.673469387755105,Furnished,False,True,True,False,Bproperty,True,synthetic
272,"2 Bed 3236 Sq Ft Apartment in Block C, Bashundhara R-A","Block C, Bashundhara R-A",Bashundhara R-A,3236,2,2,138700,,138700.0,42.861557478368354,Unfurnished,True,True,True,True,Bproperty,True,synthetic
273,"1 Bed 3550 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,3550,1,1,114500,,114500.0,32.25352112676056,Unfurnished,True,True,False,True,Bproperty,True,synthetic
274,"4 Bed 3960 Sq Ft Furnished Apartment in Khilji Road, Mohammadpur","Khilji Road, Mohammadpur",Mohammadpur,3960,4,5,88000,2000.0,90000.0,22.22222222222222,Furnished,True,True,True,False,Bproperty,True,synthetic
275,"2 Bed 3073 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,3073,2,1,88600,,88600.0,28.831760494630654,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
276,"5 Bed 2138 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,2138,5,5,59400,3500.0,62900.0,27.782974742750234,Unfurnished,True,True,True,False,Bproperty,True,synthetic
277,"4 Bed 2875 Sq Ft Furnished Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,2875,4,5,60800,15000.0,75800.0,21.14782608695652,Furnished,True,True,True,True,Bproperty,True,synthetic
278,"1 Bed 2978 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,2978,1,2,58000,,58000.0,19.476158495634653,Unfurnished,True,True,True,True,Bproperty,True,synthetic
279,"1 Bed 4429 Sq Ft Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,4429,1,1,250900,,250900.0,56.649356513885756,Unfurnished,True,True,False,True,Bproperty,True,synthetic
280,"5 Bed 1632 Sq Ft Furnished Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,1632,5,5,55400,,55400.0,33.94607843137255,Furnished,True,True,True,True,Bproperty,True,synthetic
281,"4 Bed 2177 Sq Ft Apartment in Sector 11, Uttara","Sector 11, Uttara",Uttara,2177,4,5,75400,3000.0,78400.0,34.63481855764814,Unfurnished,False,True,False,True,Bproperty,True,synthetic
282,"2 Bed 2036 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,2036,2,2,45000,3000.0,48000.0,22.102161100196465,Unfurnished,True,True,True,True,Bproperty,True,synthetic
283,"3 Bed 3035 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,3035,3,4,96800,5000.0,101800.0,31.89456342668863,Unfurnished,True,True,True,True,Bproperty,True,synthetic
284,"1 Bed 3387 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,3387,1,1,89100,9000.0,98100.0,26.306465899025685,Unfurnished,True,True,True,False,Bproperty,True,synthetic
285,"1 Bed 3020 Sq Ft Furnished Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,3020,1,1,240700,9000.0,249700.0,79.70198675496688,Furnished,True,True,True,False,Bproperty,True,synthetic
286,"5 Bed 1366 Sq Ft Furnished Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,1366,5,4,37900,,37900.0,27.74524158125915,Furnished,True,True,True,False,Bproperty,True,synthetic
287,"2 Bed 1938 Sq Ft Apartment in Khilji Road, Mohammadpur","Khilji Road, Mohammadpur",Mohammadpur,1938,2,3,55500,,55500.0,28.637770897832816,Unfurnished,True,True,True,True,Bproperty,True,synthetic
288,"4 Bed 1570 Sq Ft Furnished Apartment in Road No 11, Dhanmondi","Road No 11, Dhanmondi",Dhanmondi,1570,4,3,39700,,39700.0,25.286624203821656,Furnished,True,True,True,False,Bproperty,True,synthetic
289,"3 Bed 3795 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,3795,3,4,118800,2000.0,120800.0,31.304347826086957,Semi-Furnished,True,True,True,False,Bproperty,True,synthetic
290,"4 Bed 1177 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,1177,4,5,38500,,38500.0,32.71028037383178,Unfurnished,True,True,True,True,Bproperty,True,synthetic
291,"5 Bed 1073 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,1073,5,4,28600,,28600.0,26.654240447343895,Unfurnished,True,True,False,True,Bproperty,True,synthetic
292,"4 Bed 1376 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,1376,4,4,31700,,31700.0,23.037790697674417,Unfurnished,True,True,False,False,Bproperty,True,synthetic
293,"5 Bed 3779 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,3779,5,5,101800,15000.0,116800.0,26.938343477110347,Unfurnished,True,False,True,True,Bproperty,True,synthetic
294,"4 Bed 2127 Sq Ft Apartment in Nobodoy Housing Society, Mohammadpur","Nobodoy Housing Society, Mohammadpur",Mohammadpur,2127,4,4,39400,9000.0,48400.0,18.523742360131642,Semi-Furnished,False,True,True,False,Bproperty,True,synthetic
295,"3 Bed 3779 Sq Ft Furnished Apartment in Road No 2A, Dhanmondi","Road No 2A, Dhanmondi",Dhanmondi,3779,3,3,136900,7500.0,144400.0,36.22651495104525,Furnished,True,True,True,True,Bproperty,True,synthetic
296,"1 Bed 2571 Sq Ft Furnished Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,2571,1,2,60700,,60700.0,23.609490470633993,Furnished,True,True,True,True,Bproperty,True,synthetic
297,"1 Bed 3551 Sq Ft Furnished Apartment in Central Road, Dhanmondi","Central Road, Dhanmondi",Dhanmondi,3551,1,2,104700,,104700.0,29.48465221064489,Furnished,True,True,True,False,Bproperty,True,synthetic
298,"5 Bed 1850 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,1850,5,5,38600,3500.0,42100.0,20.864864864864863,Semi-Furnished,True,True,True,False,Bproperty,True,synthetic
299,"5 Bed 1043 Sq Ft Apartment in Road No 2A, Dhanmondi","Road No 2A, Dhanmondi",Dhanmondi,1043,5,5,32000,15000.0,47000.0,30.68072866730585,Unfurnished,True,True,True,True,Bproperty,True,synthetic
300,"1 Bed 2268 Sq Ft Apartment in Central Road, Dhanmondi","Central Road, Dhanmondi",Dhanmondi,2268,1,2,88200,7500.0,95700.0,38.888888888888886,Unfurnished,True,True,True,True,Bproperty,True,synthetic
301,"5 Bed 2891 Sq Ft Apartment in Block C, Bashundhara R-A","Block C, Bashundhara R-A",Bashundhara R-A,2891,5,4,143500,6000.0,149500.0,49.63680387409201,Semi-Furnished,True,True,False,False,Bproperty,True,synthetic
302,"2 Bed 3397 Sq Ft Furnished Apartment in Block I, Bashundhara R-A","Block I, Bashundhara R-A",Bashundhara R-A,3397,2,3,157500,7500.0,165000.0,46.36443921106859,Furnished,True,True,True,True,Bproperty,True,synthetic
303,"1 Bed 1396 Sq Ft Furnished Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,1396,1,1,53200,,53200.0,38.108882521489974,Furnished,False,False,True,False,Bproperty,True,synthetic
304,"5 Bed 923 Sq Ft Apartment in Khilji Road, Mohammadpur","Khilji Road, Mohammadpur",Mohammadpur,923,5,5,29300,12000.0,41300.0,31.744312026002167,Unfurnished,True,True,True,True,Bproperty,True,synthetic
305,"5 Bed 1793 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,1793,5,4,50100,,50100.0,27.941996653653096,Unfurnished,True,True,True,True,Bproperty,True,synthetic
306,"5 Bed 992 Sq Ft Furnished Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,992,5,5,29200,2000.0,31200.0,29.43548387096774,Furnished,True,True,True,False,Bproperty,True,synthetic
307,"3 Bed 1397 Sq Ft Apartment in Block C, Bashundhara R-A","Block C, Bashundhara R-A",Bashundhara R-A,1397,3,4,50300,,50300.0,36.00572655690766,Unfurnished,True,True,True,True,Bproperty,True,synthetic
308,"2 Bed 2953 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,2953,2,2,112500,12000.0,124500.0,38.09685066034541,Unfurnished,False,False,True,True,Bproperty,True,synthetic
309,"4 Bed 2358 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,2358,4,5,92600,,92600.0,39.270568278201864,Unfurnished,True,True,True,False,Bproperty,True,synthetic
310,"2 Bed 3179 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,3179,2,1,66500,3000.0,69500.0,20.918527838943064,Unfurnished,False,False,True,True,Bproperty,True,synthetic
311,"4 Bed 3158 Sq Ft Apartment in Sector 12, Uttara","Sector 12, Uttara",Uttara,3158,4,5,84700,5000.0,89700.0,26.82077264091197,Unfurnished,True,True,True,True,Bproperty,True,synthetic
312,"3 Bed 3190 Sq Ft Apartment in Sector 11, Uttara","Sector 11, Uttara",Uttara,3190,3,3,93600,6000.0,99600.0,29.34169278996865,Unfurnished,False,True,True,True,Bproperty,True,synthetic
313,"1 Bed 2679 Sq Ft Furnished Apartment in Block I, Bashundhara R-A","Block I, Bashundhara R-A",Bashundhara R-A,2679,1,2,143200,,143200.0,53.45278088839119,Furnished,False,False,False,True,Bproperty,True,synthetic
314,"5 Bed 2697 Sq Ft Apartment in Road No 2A, Dhanmondi","Road No 2A, Dhanmondi",Dhanmondi,2697,5,4,105000,,105000.0,38.932146829810904,Unfurnished,False,True,True,True,Bproperty,True,synthetic
315,"5 Bed 857 Sq Ft Apartment in Central Road, Dhanmondi","Central Road, Dhanmondi",Dhanmondi,857,5,4,30500,7500.0,38000.0,35.58926487747958,Unfurnished,True,False,True,False,Bproperty,True,synthetic
316,"2 Bed 3677 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,3677,2,1,97100,3500.0,100600.0,26.40739733478379,Unfurnished,True,True,True,False,Bproperty,True,synthetic
317,"2 Bed 1010 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,1010,2,3,30100,3500.0,33600.0,29.801980198019802,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
318,"5 Bed 2313 Sq Ft Apartment in Road No 2A, Dhanmondi","Road No 2A, Dhanmondi",Dhanmondi,2313,5,4,58600,7500.0,66100.0,25.33506268914829,Unfurnished,False,True,True,False,Bproperty,True,synthetic
319,"2 Bed 3565 Sq Ft Apartment in Block C, Bashundhara R-A","Block C, Bashundhara R-A",Bashundhara R-A,3565,2,3,194500,7500.0,202000.0,54.55820476858345,Unfurnished,False,True,True,True,Bproperty,True,synthetic
320,"1 Bed 2062 Sq Ft Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,2062,1,1,112600,,112600.0,54.60717749757517,Semi-Furnished,False,True,True,True,Bproperty,True,synthetic
321,"2 Bed 2428 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,2428,2,3,88000,6000.0,94000.0,36.24382207578254,Semi-Furnished,True,False,True,False,Bproperty,True,synthetic
322,"5 Bed 3402 Sq Ft Apartment in Sector 11, Uttara","Sector 11, Uttara",Uttara,3402,5,5,110500,2000.0,112500.0,32.480893592004705,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
323,"1 Bed 1267 Sq Ft Furnished Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,1267,1,2,40900,15000.0,55900.0,32.28097868981847,Furnished,True,True,True,True,Bproperty,True,synthetic
324,"2 Bed 4000 Sq Ft Apartment in Sector 11, Uttara","Sector 11, Uttara",Uttara,4000,2,3,146000,7500.0,153500.0,36.5,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
325,"2 Bed 875 Sq Ft Apartment in Sector 11, Uttara","Sector 11, Uttara",Uttara,875,2,3,25500,2000.0,27500.0,29.142857142857142,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
326,"4 Bed 3070 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,3070,4,3,93300,7500.0,100800.0,30.39087947882736,Semi-Furnished,True,True,True,False,Bproperty,True,synthetic
327,"4 Bed 2023 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,2023,4,4,48400,,48400.0,23.924864063272366,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
328,"1 Bed 3127 Sq Ft Furnished Apartment in Block I, Bashundhara R-A","Block I, Bashundhara R-A",Bashundhara R-A,3127,1,1,151800,2000.0,153800.0,48.544931244003834,Furnished,True,True,True,False,Bproperty,True,synthetic
329,"5 Bed 3045 Sq Ft Apartment in Block C, Bashundhara R-A","Block C, Bashundhara R-A",Bashundhara R-A,3045,5,5,163400,3500.0,166900.0,53.66174055829228,Unfurnished,True,False,True,True,Bproperty,True,synthetic
330,"2 Bed 1583 Sq Ft Apartment in Sector 11, Uttara","Sector 11, Uttara",Uttara,1583,2,2,54000,3500.0,57500.0,34.11244472520531,Unfurnished,True,True,True,True,Bproperty,True,synthetic
331,"5 Bed 3583 Sq Ft Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,3583,5,5,183600,,183600.0,51.241975997767234,Unfurnished,False,True,True,True,Bproperty,True,synthetic
332,"4 Bed 882 Sq Ft Apartment in Sector 12, Uttara","Sector 12, Uttara",Uttara,882,4,5,31400,3500.0,34900.0,35.600907029478456,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
333,"5 Bed 3558 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,3558,5,5,83800,3500.0,87300.0,23.552557616638563,Semi-Furnished,True,True,True,False,Bproperty,True,synthetic
334,"5 Bed 1547 Sq Ft Apartment in Khilji Road, Mohammadpur","Khilji Road, Mohammadpur",Mohammadpur,1547,5,5,49700,,49700.0,32.126696832579185,Unfurnished,False,True,False,False,Bproperty,True,synthetic
335,"2 Bed 4420 Sq Ft Apartment in Block A, Bashundhara R-A","Block A, Bashundhara R-A",Bashundhara R-A,4420,2,2,236900,3000.0,239900.0,53.5972850678733,Unfurnished,True,True,True,True,Bproperty,True,synthetic
336,"3 Bed 3099 Sq Ft Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,3099,3,2,218100,,218100.0,70.37754114230397,Unfurnished,True,False,True,True,Bproperty,True,synthetic
337,"5 Bed 2882 Sq Ft Furnished Apartment in Block C, Bashundhara R-A","Block C, Bashundhara R-A",Bashundhara R-A,2882,5,5,110100,3000.0,113100.0,38.20263705759889,Furnished,True,True,True,False,Bproperty,True,synthetic
338,"4 Bed 938 Sq Ft Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,938,4,5,51900,3000.0,54900.0,55.330490405117274,Semi-Furnished,True,True,True,False,Bproperty,True,synthetic
339,"2 Bed 2722 Sq Ft Apartment in Block I, Bashundhara R-A","Block I, Bashundhara R-A",Bashundhara R-A,2722,2,3,145200,12000.0,157200.0,53.34313005143277,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
340,"2 Bed 1068 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,1068,2,2,23700,,23700.0,22.191011235955056,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
341,"5 Bed 4480 Sq Ft Apartment in Khilji Road, Mohammadpur","Khilji Road, Mohammadpur",Mohammadpur,4480,5,4,88200,,88200.0,19.6875,Unfurnished,True,True,True,False,Bproperty,True,synthetic
342,"3 Bed 2182 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,2182,3,4,40000,2000.0,42000.0,18.331805682859763,Unfurnished,True,True,True,False,Bproperty,True,synthetic
343,"1 Bed 3310 Sq Ft Apartment in Khilji Road, Mohammadpur","Khilji Road, Mohammadpur",Mohammadpur,3310,1,2,74200,,74200.0,22.416918429003022,Unfurnished,False,True,True,True,Bproperty,True,synthetic
344,"2 Bed 2248 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,2248,2,1,58500,3000.0,61500.0,26.023131672597867,Semi-Furnished,True,True,False,True,Bproperty,True,synthetic
345,"4 Bed 2100 Sq Ft Furnished Apartment in Sector 11, Uttara","Sector 11, Uttara",Uttara,2100,4,4,55500,,55500.0,26.428571428571427,Furnished,True,True,True,False,Bproperty,True,synthetic
346,"5 Bed 3609 Sq Ft Apartment in Khilji Road, Mohammadpur","Khilji Road, Mohammadpur",Mohammadpur,3609,5,4,92800,,92800.0,25.7134940426711,Unfurnished,False,True,True,False,Bproperty,True,synthetic
347,"2 Bed 4206 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,4206,2,2,109700,12000.0,121700.0,26.08178792201617,Semi-Furnished,True,True,True,False,Bproperty,True,synthetic
348,"1 Bed 2236 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,2236,1,1,49400,12000.0,61400.0,22.093023255813954,Unfurnished,True,False,True,False,Bproperty,True,synthetic
349,"4 Bed 1726 Sq Ft Apartment in Block I, Bashundhara R-A","Block I, Bashundhara R-A",Bashundhara R-A,1726,4,5,67300,3000.0,70300.0,38.99188876013905,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
350,"3 Bed 3338 Sq Ft Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,3338,3,2,201400,5000.0,206400.0,60.335530257639306,Unfurnished,True,True,False,True,Bproperty,True,synthetic
351,"3 Bed 1507 Sq Ft Apartment in Block A, Bashundhara R-A","Block A, Bashundhara R-A",Bashundhara R-A,1507,3,4,74200,6000.0,80200.0,49.23689449236895,Semi-Furnished,True,True,True,False,Bproperty,True,synthetic
352,"1 Bed 2731 Sq Ft Apartment in PC Culture Housing, Mohammadpur","PC Culture Housing, Mohammadpur",Mohammadpur,2731,1,1,82700,3000.0,85700.0,30.281948004393996,Semi-Furnished,True,True,False,True,Bproperty,True,synthetic
353,"5 Bed 3162 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,3162,5,4,81700,7500.0,89200.0,25.838077166350413,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
354,"3 Bed 1963 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,1963,3,3,60900,7500.0,68400.0,31.023942944472747,Unfurnished,False,True,True,True,Bproperty,True,synthetic
355,"4 Bed 2904 Sq Ft Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,2904,4,5,182200,6000.0,188200.0,62.74104683195592,Unfurnished,False,True,True,False,Bproperty,True,synthetic
356,"5 Bed 1389 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,1389,5,5,29100,3500.0,32600.0,20.950323974082075,Unfurnished,True,True,True,False,Bproperty,True,synthetic
357,"1 Bed 2570 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,2570,1,2,56700,,56700.0,22.06225680933852,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
358,"5 Bed 3467 Sq Ft Apartment in Road No 11, Dhanmondi","Road No 11, Dhanmondi",Dhanmondi,3467,5,4,113100,3000.0,116100.0,32.621863282376694,Unfurnished,True,True,False,True,Bproperty,True,synthetic
359,"1 Bed 2864 Sq Ft Apartment in Khilji Road, Mohammadpur","Khilji Road, Mohammadpur",Mohammadpur,2864,1,1,81900,7500.0,89400.0,28.5963687150838,Unfurnished,True,True,True,True,Bproperty,True,synthetic
360,"5 Bed 1730 Sq Ft Apartment in Sector 12, Uttara","Sector 12, Uttara",Uttara,1730,5,5,64400,3000.0,67400.0,37.225433526011564,Semi-Furnished,True,True,False,True,Bproperty,True,synthetic
361,"3 Bed 3512 Sq Ft Furnished Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,3512,3,3,75500,15000.0,90500.0,21.497722095671982,Furnished,True,True,True,False,Bproperty,True,synthetic
362,"3 Bed 2664 Sq Ft Furnished Apartment in Khilji Road, Mohammadpur","Khilji Road, Mohammadpur",Mohammadpur,2664,3,4,86700,5000.0,91700.0,32.54504504504504,Furnished,True,True,True,True,Bproperty,True,synthetic
363,"5 Bed 1341 Sq Ft Apartment in Sector 12, Uttara","Sector 12, Uttara",Uttara,1341,5,4,46700,6000.0,52700.0,34.82475764354959,Unfurnished,True,True,True,False,Bproperty,True,synthetic
364,"3 Bed 3486 Sq Ft Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,3486,3,2,246300,,246300.0,70.65404475043029,Unfurnished,True,True,True,True,Bproperty,True,synthetic
365,"4 Bed 895 Sq Ft Furnished Apartment in Central Road, Dhanmondi","Central Road, Dhanmondi",Dhanmondi,895,4,5,25700,5000.0,30700.0,28.71508379888268,Furnished,True,True,True,True,Bproperty,True,synthetic
366,"1 Bed 4008 Sq Ft Apartment in Central Road, Dhanmondi","Central Road, Dhanmondi",Dhanmondi,4008,1,1,105800,6000.0,111800.0,26.397205588822356,Unfurnished,True,True,True,False,Bproperty,True,synthetic
367,"5 Bed 866 Sq Ft Furnished Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,866,5,4,24300,15000.0,39300.0,28.060046189376443,Furnished,True,True,True,False,Bproperty,True,synthetic
368,"2 Bed 2801 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,2801,2,2,97800,6000.0,103800.0,34.91610139235987,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
369,"2 Bed 2228 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,2228,2,2,65500,,65500.0,29.398563734290843,Semi-Furnished,True,True,True,False,Bproperty,True,synthetic
370,"5 Bed 3890 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,3890,5,5,81100,3500.0,84600.0,20.848329048843187,Semi-Furnished,True,False,True,False,Bproperty,True,synthetic
371,"4 Bed 3980 Sq Ft Furnished Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,3980,4,5,118600,12000.0,130600.0,29.798994974874372,Furnished,True,True,True,False,Bproperty,True,synthetic
372,"4 Bed 3982 Sq Ft Furnished Apartment in Sector 11, Uttara","Sector 11, Uttara",Uttara,3982,4,4,141700,12000.0,153700.0,35.585133098945256,Furnished,True,True,True,True,Bproperty,True,synthetic
